age,policy_number,insured_sex,insured_education_level,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
34,608513,MALE,JD,2015-01-07,Vehicle Theft,?,Minor Damage,VA,Northbrook,3790 Andromedia Hwy,5,1,YES,2,5720,1040,520,4160,Suburu,Forrestor,2003
40,914088,FEMALE,JD,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,SC,Northbend,3220 Rock Drive,21,1,NO,1,69840,7760,15520,46560,Dodge,Neon,2009
45,596785,FEMALE,PhD,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbrook,2100 Francis Drive,5,1,NO,2,91650,14100,14100,63450,Accura,TL,2011
25,908616,MALE,Masters,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,SC,Columbus,4687 5th Drive,22,4,NO,0,75600,12600,12600,50400,Toyota,Corolla,2005
37,666333,MALE,JD,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,WV,Riverwood,9038 2nd Lane,10,3,NO,2,67140,7460,7460,52220,Ford,F150,2006
35,336614,FEMALE,Associate,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,NY,Arlington,6092 5th Ave,16,3,YES,2,29790,3310,3310,23170,BMW,3 Series,2008
30,584859,MALE,High School,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,77110,14020,14020,49070,Suburu,Impreza,2015
37,990493,MALE,PhD,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,WV,Hillsdale,3540 Maple St,17,1,YES,0,64800,10800,5400,48600,Audi,A3,1999
33,129872,MALE,High School,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,WV,Springfield,3104 Sky Drive,15,1,YES,2,53100,10620,5310,37170,Mercedes,C300,1995
28,200152,FEMALE,Masters,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,NY,Northbrook,4981 Weaver St,3,1,?,1,60200,6020,6020,48160,Suburu,Forrestor,2004
49,933293,FEMALE,JD,2015-01-18,Parked Car,?,Minor Damage,WV,Arlington,6676 Tree Lane,16,1,NO,1,5330,1230,820,3280,Suburu,Legacy,2001
54,485664,FEMALE,MD,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Hillsdale,3930 Embaracadero St,4,3,?,2,62300,12460,6230,43610,Jeep,Wrangler,2007
37,982871,MALE,JD,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,NC,Columbus,3422 Flute St,4,1,?,0,60170,10940,10940,38290,Nissan,Pathfinder,2011
26,206213,MALE,Associate,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,40000,8000,4000,28000,BMW,M5,2010
34,616337,MALE,Associate,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,WV,Northbrook,5719 2nd Lane,1,1,?,1,97080,16180,16180,64720,BMW,X5,2001
23,448961,FEMALE,College,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Springfield,3221 Solo Ridge,17,3,YES,1,51660,5740,5740,40180,Dodge,RAM,2010
30,790442,FEMALE,PhD,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,NC,Arlington,6660 MLK Drive,23,1,NO,2,51120,5680,5680,39760,Mercedes,E400,2005
44,108844,MALE,JD,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,SC,Springfield,1699 Oak Drive,14,1,YES,0,56400,11280,11280,33840,Toyota,Highlander,2014
40,430029,FEMALE,MD,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,55120,6890,0,48230,Accura,MDX,2002
33,529112,FEMALE,Associate,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,NC,Northbend,7476 4th St,11,3,YES,1,77110,0,14020,63090,Honda,Civic,2014
47,939631,MALE,College,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,WV,Arlington,8907 Tree Ave,19,3,NO,2,62800,6280,6280,50240,Audi,A3,2003
34,866931,FEMALE,PhD,2015-02-26,Vehicle Theft,?,Trivial Damage,NY,Arlington,6619 Flute Ave,5,1,?,2,7290,810,810,5670,Volkswagen,Passat,1995
35,582011,FEMALE,Masters,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,WV,Springfield,6011 Britain St,19,1,NO,0,76600,15320,7660,53620,Mercedes,C300,2000
59,691189,MALE,MD,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Riverwood,5104 Francis Drive,19,3,?,0,81800,16360,8180,57260,Nissan,Pathfinder,1998
27,537546,FEMALE,JD,2015-01-17,Vehicle Theft,?,Trivial Damage,NY,Arlington,2280 4th Ave,4,1,?,1,7260,1320,660,5280,BMW,M5,2008
39,394975,MALE,College,2015-02-22,Vehicle Theft,?,Minor Damage,WV,Northbend,2644 Elm Drive,8,1,?,2,4300,430,430,3440,Toyota,Corolla,2000
40,729634,FEMALE,JD,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,NC,Columbus,7466 MLK Ridge,7,3,YES,1,70510,12820,12820,44870,Suburu,Forrestor,1999
39,282195,MALE,PhD,2015-02-27,Parked Car,?,Minor Damage,VA,Northbend,5821 2nd St,5,1,NO,0,2640,480,480,1680,Ford,F150,2009
26,420810,MALE,PhD,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,6723 Best Drive,3,1,YES,1,78900,15780,7890,55230,Chevrolet,Silverado,1995
56,524836,FEMALE,PhD,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,SC,Columbus,4866 4th Hwy,12,3,?,2,56430,0,6270,50160,Honda,CRV,2014
32,307195,FEMALE,Masters,2015-02-22,Parked Car,?,Minor Damage,VA,Riverwood,5418 Britain Ave,19,1,NO,1,2400,300,300,1800,Chevrolet,Silverado,2014
39,623648,MALE,PhD,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,65790,7310,7310,51170,Saab,93,2007
36,485372,FEMALE,MD,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,VA,Hillsdale,2299 1st St,12,3,NO,1,62920,11440,5720,45760,Ford,Escape,2000
34,598554,MALE,PhD,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,69480,15440,0,54040,Nissan,Maxima,2014
44,303987,MALE,JD,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,OH,Springfield,7459 Flute St,23,3,NO,0,44280,7380,3690,33210,Honda,Accord,1997
32,343161,MALE,High School,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,WV,Hillsdale,3567 4th Drive,12,1,NO,0,56300,5630,11260,39410,BMW,M5,2011
42,519312,MALE,JD,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,WV,Northbend,2457 Washington Ave,20,3,YES,2,68520,11420,5710,51390,Suburu,Legacy,2003
42,132902,MALE,PhD,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,VA,Riverwood,1269 Flute Drive,16,3,NO,0,59130,6570,6570,45990,Ford,Escape,2006
39,332867,FEMALE,MD,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Arlington,1218 Sky Hwy,6,3,YES,2,82320,13720,6860,61740,Dodge,Neon,1995
31,356590,FEMALE,High School,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,SC,Springfield,9169 Pine Ridge,12,1,YES,0,89700,13800,13800,62100,Audi,A5,2009
64,346002,FEMALE,Associate,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,33930,0,3770,30160,BMW,X6,1998
30,500533,MALE,MD,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,WV,Northbrook,5783 Oak Ave,8,1,NO,0,68530,12460,6230,49840,Audi,A5,1997
49,348209,MALE,MD,2015-02-27,Parked Car,?,Minor Damage,NC,Riverwood,7721 Washington Ridge,13,1,NO,0,4300,860,860,2580,Ford,F150,2004
42,486676,FEMALE,Associate,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,SC,Hillsdale,8006 Maple Hwy,12,2,?,2,68310,12420,6210,49680,Audi,A3,2003
41,260845,FEMALE,MD,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbrook,6751 Pine Ridge,7,1,NO,0,61290,6810,6810,47670,Honda,Civic,1995
41,657045,FEMALE,Associate,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,NC,Arlington,2324 Texas Ridge,10,1,NO,1,30100,3010,0,27090,Chevrolet,Malibu,1999
37,761189,FEMALE,College,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Riverwood,7923 Elm Ave,7,3,NO,2,57120,9520,4760,42840,Mercedes,C300,2002
40,175177,FEMALE,Associate,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,VA,Springfield,4755 Best Lane,18,3,YES,1,42930,9540,4770,28620,BMW,X6,2005
35,116700,FEMALE,High School,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,SC,Riverwood,5053 Tree Drive,22,3,NO,2,51210,11380,5690,34140,Ford,Fusion,2010
45,166264,FEMALE,College,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,2078 3rd Ave,18,3,NO,1,89400,14900,7450,67050,Suburu,Legacy,1998
47,527945,MALE,College,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,WV,Northbrook,2804 Best St,22,3,NO,0,59730,10860,10860,38010,Audi,A3,2005
39,627540,FEMALE,JD,2015-01-24,Vehicle Theft,?,Minor Damage,SC,Springfield,7877 Sky Lane,15,1,YES,2,8060,1240,1240,5580,Saab,95,2004
38,279422,FEMALE,PhD,2015-01-21,Single Vehicle Collision,Rear Collision,Major Damage,SC,Northbrook,6530 Weaver Ave,16,1,?,1,72200,14440,7220,50540,BMW,M5,2013
31,484200,MALE,High School,2015-02-19,Multi-vehicle Collision,Side Collision,Minor Damage,NC,Arlington,3087 Oak Hwy,6,3,NO,1,50800,10160,10160,30480,Accura,MDX,2005
40,645258,FEMALE,Masters,2015-01-03,Vehicle Theft,?,Trivial Damage,NC,Northbrook,7098 Lincoln Hwy,10,1,?,2,6600,660,1320,4620,Accura,TL,2005
29,694662,MALE,Masters,2015-01-29,Vehicle Theft,?,Minor Damage,NY,Northbrook,5124 Maple St,3,1,YES,2,7500,750,1500,5250,Nissan,Maxima,2002
35,960680,MALE,High School,2015-01-19,Vehicle Theft,?,Trivial Damage,VA,Hillsdale,2333 Maple Lane,13,1,NO,0,6490,1180,1180,4130,Volkswagen,Jetta,2002
48,498140,MALE,Masters,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,NY,Hillsdale,1012 5th Lane,16,2,?,2,60940,5540,11080,44320,Audi,A3,2013
41,498875,MALE,High School,2015-02-02,Multi-vehicle Collision,Front Collision,Major Damage,NY,Northbrook,7477 MLK Drive,13,3,YES,0,58300,5830,11660,40810,Suburu,Legacy,2007
34,798177,FEMALE,Associate,2015-01-30,Multi-vehicle Collision,Front Collision,Minor Damage,SC,Columbus,9489 3rd St,9,3,NO,2,68400,11400,11400,45600,Ford,F150,2007
32,614763,FEMALE,MD,2015-01-08,Single Vehicle Collision,Side Collision,Total Loss,VA,Springfield,2087 Apache Ave,2,1,?,2,64240,11680,11680,40880,BMW,3 Series,2015
36,679370,FEMALE,College,2015-01-30,Parked Car,?,Trivial Damage,WV,Arlington,5540 Sky St,9,1,NO,0,4700,940,470,3290,Dodge,Neon,2002
25,958857,FEMALE,College,2015-01-07,Multi-vehicle Collision,Side Collision,Major Damage,SC,Columbus,7238 2nd St,12,3,YES,2,45120,0,5640,39480,Accura,MDX,2011
29,686816,FEMALE,High School,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,SC,Arlington,8442 Britain Hwy,12,2,YES,1,66950,10300,10300,46350,Saab,93,1995
23,127754,FEMALE,Associate,2015-02-02,Single Vehicle Collision,Side Collision,Major Damage,NY,Columbus,1331 Britain Hwy,14,1,NO,0,98340,8940,17880,71520,Honda,Accord,2004
42,918629,MALE,PhD,2015-02-28,Parked Car,?,Trivial Damage,WV,Springfield,5260 Francis Drive,9,1,NO,0,5900,590,590,4720,BMW,X5,2007
43,731450,FEMALE,MD,2015-02-09,Multi-vehicle Collision,Front Collision,Major Damage,NC,Riverwood,1135 Solo Lane,3,3,NO,1,70680,5890,11780,53010,Ford,Fusion,2009
42,307447,FEMALE,High School,2015-01-19,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Northbend,9737 Solo Hwy,21,3,NO,1,93720,17040,8520,68160,Mercedes,ML350,2005
25,992145,FEMALE,PhD,2015-02-21,Vehicle Theft,?,Minor Damage,OH,Northbrook,3289 Britain Drive,5,1,NO,2,6930,1260,630,5040,Toyota,Highlander,2001
47,900628,FEMALE,Associate,2015-01-14,Single Vehicle Collision,Side Collision,Major Damage,VA,Springfield,6550 Andromedia St,11,1,YES,0,72930,6630,6630,59670,Dodge,RAM,2006
25,235220,MALE,Masters,2015-01-22,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Hillsdale,1679 2nd Hwy,4,4,YES,1,64890,7210,7210,50470,Nissan,Pathfinder,2013
48,740019,FEMALE,College,2015-02-22,Parked Car,?,Trivial Damage,WV,Columbus,3998 Flute St,6,1,?,1,5400,900,900,3600,Saab,95,1999
42,246882,MALE,College,2015-01-26,Vehicle Theft,?,Trivial Damage,NC,Northbrook,2430 MLK Ave,10,1,NO,0,5600,700,700,4200,Audi,A3,2007
41,797613,FEMALE,College,2015-01-24,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbend,7717 Britain Hwy,23,1,YES,0,79300,15860,15860,47580,Saab,92x,2007
27,193442,FEMALE,College,2015-02-19,Single Vehicle Collision,Side Collision,Major Damage,WV,Northbend,7773 Tree Hwy,13,1,YES,1,52800,10560,5280,36960,Saab,95,2004
41,389238,FEMALE,JD,2015-01-29,Multi-vehicle Collision,Front Collision,Minor Damage,NC,Northbrook,2199 Texas Drive,16,3,?,2,28800,0,3600,25200,Ford,Fusion,2013
33,760179,FEMALE,Associate,2015-02-15,Parked Car,?,Minor Damage,WV,Northbend,1028 Sky Lane,3,1,NO,1,2970,330,330,2310,Toyota,Highlander,2008
54,939905,MALE,College,2015-02-12,Multi-vehicle Collision,Side Collision,Total Loss,SC,Northbend,4154 Lincoln Hwy,15,3,NO,0,93480,15580,7790,70110,Chevrolet,Malibu,2014
49,872814,MALE,College,2015-01-01,Vehicle Theft,?,Minor Damage,WV,Columbus,8085 Andromedia St,4,1,YES,1,4320,480,480,3360,Mercedes,E400,2002
61,632627,FEMALE,Associate,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,VA,Northbend,4793 4th Ridge,6,3,?,0,79800,6650,19950,53200,Saab,95,2000
28,283414,FEMALE,High School,2015-03-01,Multi-vehicle Collision,Front Collision,Major Damage,WV,Columbus,7428 Sky Hwy,22,2,NO,1,74200,7420,14840,51940,Volkswagen,Passat,1997
47,163161,FEMALE,PhD,2015-02-02,Single Vehicle Collision,Front Collision,Major Damage,NY,Northbrook,2306 5th Lane,1,1,?,0,70590,10860,10860,48870,Saab,93,2000
31,853360,FEMALE,Masters,2015-01-27,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Springfield,3052 Weaver Ridge,16,3,NO,0,60940,5540,11080,44320,Nissan,Ultima,2006
42,776860,FEMALE,College,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Riverwood,5211 Weaver Drive,18,1,?,1,74700,7470,14940,52290,Dodge,RAM,2010
60,149367,MALE,PhD,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,NC,Springfield,7253 MLK St,0,1,YES,0,70000,14000,7000,49000,Ford,F150,2015
41,395269,MALE,High School,2015-01-30,Multi-vehicle Collision,Rear Collision,Total Loss,WV,Columbus,1454 5th Ridge,12,3,?,2,81070,14740,14740,51590,BMW,X5,2001
32,981123,MALE,MD,2015-03-01,Multi-vehicle Collision,Side Collision,Major Damage,VA,Hillsdale,5622 Best Ridge,13,2,?,1,57720,14430,9620,33670,Saab,93,2007
51,143626,MALE,Associate,2015-02-24,Vehicle Theft,?,Minor Damage,VA,Northbrook,4574 Britain Hwy,9,1,YES,1,7080,1180,1180,4720,Ford,F150,2001
46,648397,MALE,MD,2015-01-24,Multi-vehicle Collision,Side Collision,Total Loss,NY,Riverwood,4539 Texas St,14,3,NO,0,47700,4770,9540,33390,Accura,MDX,1997
31,154982,FEMALE,PhD,2015-02-26,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Hillsdale,8118 Elm Ridge,16,1,NO,0,51260,9320,9320,32620,Suburu,Legacy,2002
41,330591,MALE,High School,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,NY,Northbend,3814 Britain Drive,20,3,?,2,70400,6400,12800,51200,Toyota,Highlander,2011
38,319232,FEMALE,PhD,2015-01-17,Single Vehicle Collision,Rear Collision,Minor Damage,NY,Hillsdale,4614 MLK Ave,4,1,NO,1,90000,18000,9000,63000,Ford,Fusion,2015
39,531640,FEMALE,Associate,2015-02-20,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,1628 Best Drive,7,3,?,0,72820,13240,6620,52960,BMW,3 Series,2010
41,368050,MALE,High School,2015-02-22,Single Vehicle Collision,Side Collision,Minor Damage,SC,Hillsdale,8381 Solo Hwy,22,1,NO,2,69300,13860,13860,41580,Volkswagen,Passat,2000
36,253791,FEMALE,MD,2015-01-23,Single Vehicle Collision,Front Collision,Major Damage,NY,Northbrook,2100 MLK St,11,1,NO,2,76560,12760,12760,51040,Ford,Fusion,2008
38,155724,FEMALE,Masters,2015-01-31,Single Vehicle Collision,Front Collision,Major Damage,VA,Columbus,5071 Flute Ridge,7,1,?,0,55440,0,6160,49280,Nissan,Maxima,1999
25,824540,FEMALE,College,2015-01-05,Multi-vehicle Collision,Front Collision,Total Loss,NC,Arlington,7551 Britain Lane,0,4,YES,1,77130,8570,17140,51420,Accura,MDX,1995
35,717392,FEMALE,JD,2015-02-03,Single Vehicle Collision,Rear Collision,Total Loss,WV,Northbend,2275 Best Lane,1,1,YES,1,42000,7000,7000,28000,BMW,X5,2011
39,965768,MALE,JD,2015-02-17,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Hillsdale,1598 3rd Drive,12,3,NO,2,36300,3300,9900,23100,Ford,Escape,2013
38,414779,MALE,MD,2015-01-09,Single Vehicle Collision,Side Collision,Total Loss,WV,Columbus,7740 MLK St,8,1,NO,0,40320,5760,5760,28800,Suburu,Impreza,2001
32,428230,FEMALE,High School,2015-02-08,Parked Car,?,Minor Damage,PA,Northbrook,1240 Tree Lane,9,1,?,2,3960,330,660,2970,BMW,M5,1998
43,517240,MALE,College,2015-02-06,Single Vehicle Collision,Front Collision,Major Damage,NY,Northbend,8983 Francis Ridge,22,1,YES,0,63840,10640,10640,42560,BMW,X5,2006
28,469874,FEMALE,Masters,2015-01-14,Multi-vehicle Collision,Front Collision,Major Damage,SC,Northbend,7756 Solo Drive,0,3,?,1,44730,4970,4970,34790,Saab,92x,2000
45,718428,MALE,JD,2015-01-22,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Arlington,9034 Weaver Ridge,0,3,YES,1,84720,14120,14120,56480,Ford,Escape,1999
39,620215,MALE,Masters,2015-02-23,Multi-vehicle Collision,Front Collision,Major Damage,WV,Columbus,1126 Texas Hwy,3,3,?,2,61500,6150,12300,43050,Dodge,RAM,2012
27,618659,FEMALE,Masters,2015-02-22,Multi-vehicle Collision,Front Collision,Major Damage,NC,Arlington,2808 Elm St,21,3,?,0,51000,8500,8500,34000,Nissan,Pathfinder,2013
33,649082,FEMALE,High School,2015-01-24,Single Vehicle Collision,Side Collision,Total Loss,WV,Northbend,5061 Francis Ave,0,1,?,2,46800,4680,9360,32760,Jeep,Wrangler,2002
32,437573,MALE,PhD,2015-02-09,Single Vehicle Collision,Side Collision,Minor Damage,WV,Northbend,4965 MLK Drive,16,1,?,1,78120,17360,8680,52080,BMW,3 Series,2006
34,964657,FEMALE,College,2015-01-19,Single Vehicle Collision,Rear Collision,Major Damage,NY,Springfield,8668 Flute St,14,1,NO,1,69200,13840,6920,48440,Volkswagen,Passat,1996
40,932502,FEMALE,High School,2015-01-01,Vehicle Theft,?,Minor Damage,VA,Riverwood,2577 Washington Drive,9,1,?,0,3690,410,410,2870,Ford,Escape,2015
28,434507,FEMALE,PhD,2015-01-07,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Springfield,7709 Rock Lane,9,3,NO,0,65500,6550,6550,52400,BMW,X5,2010
46,935277,FEMALE,High School,2015-02-01,Multi-vehicle Collision,Rear Collision,Minor Damage,NC,Springfield,9358 Texas Ridge,21,3,?,1,76120,13840,6920,55360,Toyota,Camry,1999
32,756054,FEMALE,MD,2015-02-21,Multi-vehicle Collision,Front Collision,Total Loss,VA,Springfield,8080 Oak Lane,19,3,NO,0,73560,12260,12260,49040,BMW,X5,1995
35,682387,MALE,Masters,2015-01-21,Single Vehicle Collision,Rear Collision,Total Loss,NY,Northbend,6408 Weaver Ridge,2,1,YES,0,52030,9460,4730,37840,Mercedes,E400,2008
41,456604,MALE,Masters,2015-01-19,Vehicle Theft,?,Trivial Damage,SC,Northbrook,5532 Weaver Ridge,9,1,?,2,5170,470,940,3760,Suburu,Forrestor,2001
34,139872,MALE,PhD,2015-02-27,Parked Car,?,Minor Damage,SC,Northbend,9101 2nd Hwy,5,1,?,2,8190,1890,1260,5040,Chevrolet,Silverado,2013
29,354105,MALE,MD,2015-02-14,Single Vehicle Collision,Rear Collision,Major Damage,SC,Springfield,8576 Andromedia St,14,1,?,2,70800,7080,14160,49560,Accura,MDX,2012
31,165485,FEMALE,JD,2015-02-01,Multi-vehicle Collision,Rear Collision,Total Loss,WV,Springfield,6315 2nd Lane,20,3,?,0,45630,5070,5070,35490,Accura,MDX,2011
58,515050,FEMALE,Associate,2015-02-02,Single Vehicle Collision,Front Collision,Major Damage,NC,Northbrook,1536 Flute Drive,18,1,YES,2,99320,7640,15280,76400,Accura,TL,2002
