"age","incident_hour_of_the_day","number_of_vehicles_involved","auto_make","auto_year","state","severity","start_time","end_time","temperature","humidity","visibility","wind_speed","precipitation"
37,"10",3,"Ford",2006,"IN",3,"2018-01-25 16:44:30","2018-01-25 17:13:41","46.0","56.0","10.0","11.5",NULL
35,"16",3,"BMW",2008,"LA",2,"2017-10-20 09:23:35","2017-10-20 10:53:09","66.9","81.0","10.0","6.9",NULL
30,"1",3,"Suburu",2015,"NC",2,"2018-09-25 12:36:04","2018-09-25 13:05:49","77.0","79.0","8.0",NULL,NULL
37,"17",1,"Audi",1999,"NC",2,"2016-07-08 12:38:55","2016-07-08 19:07:48","91.0","47.0","10.0","10.4",NULL
33,"15",1,"Mercedes",1995,"CA",3,"2019-11-12 04:27:39","2019-11-12 06:57:24","52.0","56.0","10.0","5.0","0.0"
28,"3",1,"Suburu",2004,"VA",3,"2019-02-28 07:33:04","2019-02-28 08:45:04","44.1","76.0","10.0","12.7",NULL
49,"16",1,"Suburu",2001,"AZ",2,"2020-05-29 13:22:05","2020-05-29 14:07:05","106.0","11.0","10.0","7.0","0.0"
54,"4",3,"Jeep",2007,"NY",2,"2020-12-22 00:44:00","2020-12-22 04:51:36","34.0","100.0","6.0","7.0","0.0"
37,"4",1,"Nissan",2011,"PA",4,"2020-10-26 00:38:00","2020-10-26 02:41:25","45.0","97.0","10.0","5.0","0.0"
26,"19",1,"BMW",2010,"CA",2,"2019-11-13 17:52:00","2019-11-13 19:25:09","60.0","67.0","9.0","3.0","0.0"
34,"1",1,"BMW",2001,"NY",3,"2020-11-13 18:30:59","2020-11-13 19:50:21","37.0","100.0","9.0","0.0","0.0"
23,"17",3,"Dodge",2010,"FL",2,"2016-12-29 07:35:34","2016-12-29 08:05:17","60.8","94.0","0.2",NULL,NULL
30,"23",1,"Mercedes",2005,"TX",2,"2020-01-06 15:37:19","2020-01-06 16:05:57","63.0","34.0","10.0","10.0","0.0"
44,"14",1,"Toyota",2014,"CA",2,"2019-12-15 13:47:00","2019-12-15 14:40:45","52.0","61.0","10.0","5.0","0.0"
40,"17",3,"Accura",2002,"CA",3,"2019-03-29 07:43:46","2019-03-29 08:43:11","55.0","74.0","7.0",NULL,NULL
33,"11",3,"Honda",2014,"MN",2,"2018-06-05 07:43:07","2018-06-05 08:42:43","63.0","58.0","10.0","13.8",NULL
47,"19",3,"Audi",2003,"TX",2,"2018-01-03 18:55:12","2018-01-03 19:24:55","42.8","27.0","10.0","6.9",NULL
34,"5",1,"Volkswagen",1995,"CA",2,"2020-11-03 21:28:00","2020-11-03 23:29:31","62.0","84.0","4.0","0.0","0.0"
35,"19",1,"Mercedes",2000,"FL",2,"2020-11-30 17:40:30","2020-11-30 18:38:00","72.0","91.0","10.0","6.0","0.0"
59,"19",3,"Nissan",1998,"MI",2,"2020-05-12 18:27:50","2020-05-12 18:57:09","54.0","21.0","10.0","14.0","0.0"
27,"4",1,"BMW",2008,"FL",2,"2020-11-21 13:58:30","2020-11-21 23:43:39","80.0","71.0","10.0","15.0","0.0"
39,"8",1,"Toyota",2000,"MN",2,"2020-10-16 06:56:00","2020-10-16 09:56:10","36.0","75.0","10.0","13.0","0.0"
40,"7",3,"Suburu",1999,"IN",2,"2018-07-03 15:07:15","2018-07-03 15:36:50","86.0","66.0","10.0","6.9",NULL
39,"5",1,"Ford",2009,"CA",2,"2019-11-13 16:36:00","2019-11-13 17:07:47","68.0","40.0","10.0","3.0",NULL
26,"3",1,"Chevrolet",1995,"NC",1,"2020-06-13 16:50:54","2020-06-13 17:20:54","81.0","39.0","10.0","3.0","0.0"
56,"12",3,"Honda",2014,"OH",3,"2016-05-20 17:23:00","2016-05-20 17:47:00","71.1","44.0","10.0","11.5",NULL
32,"19",1,"Chevrolet",2014,"VA",2,"2020-03-04 18:27:55","2020-03-04 18:57:31","58.0","27.0","10.0","5.0","0.0"
39,"22",1,"Saab",2007,"VA",3,"2019-09-28 15:15:08","2019-09-28 16:37:27","89.0","53.0","10.0","3.0","0.0"
36,"12",3,"Ford",2000,"MI",2,"2018-11-05 11:50:26","2018-11-05 12:35:07","50.0","66.0","10.0","10.4",NULL
34,"15",3,"Nissan",2014,"MI",2,"2018-09-21 04:49:14","2018-09-21 05:18:52","79.0","66.0","10.0","17.3",NULL
44,"23",3,"Honda",1997,"NY",2,"2020-12-16 21:26:41","2020-12-17 00:10:47","18.0","73.0","1.0","7.0","0.0"
32,"12",1,"BMW",2011,"CA",3,"2018-02-09 19:26:49","2018-02-09 20:11:26","59.0","82.0","10.0","5.8",NULL
42,"20",3,"Suburu",2003,"NJ",2,"2020-11-30 00:45:26","2020-11-30 02:26:11","42.0","65.0","10.0","0.0","0.0"
42,"16",3,"Ford",2006,"TX",2,"2020-04-08 10:39:16","2020-04-08 11:09:16","78.0","76.0","6.0","6.0","0.0"
39,"6",3,"Dodge",1995,"TX",2,"2019-04-11 12:20:07","2019-04-11 12:49:16","63.0","14.0","10.0","17.0",NULL
31,"12",1,"Audi",2009,"TX",3,"2017-04-18 10:21:04","2017-04-18 10:51:04","70.0","81.0","10.0","6.9",NULL
64,"17",3,"BMW",1998,"FL",3,"2017-08-14 08:33:36","2017-08-14 09:17:53","82.9","82.0","10.0","4.6",NULL
30,"8",1,"Audi",1997,"CA",2,"2019-09-11 13:41:00","2019-09-11 14:53:15","81.0","37.0","10.0","9.0","0.0"
49,"13",1,"Ford",2004,"FL",2,"2018-05-15 22:45:40","2018-05-15 23:15:12","73.0","90.0","10.0","12.0","0.0"
42,"12",2,"Audi",2003,"AZ",2,"2018-05-04 17:32:37","2018-05-04 23:32:37","93.2","7.0","10.0",NULL,NULL
41,"7",1,"Honda",1995,"CA",2,"2016-06-09 20:49:59","2016-06-09 21:19:59","64.0","78.0","10.0",NULL,NULL
41,"10",1,"Chevrolet",1999,"MD",2,"2017-05-10 15:53:49","2017-05-10 21:53:49",NULL,NULL,NULL,NULL,NULL
37,"7",3,"Mercedes",2002,"CT",2,"2016-10-15 15:57:26","2016-10-15 16:41:54","62.1","43.0","10.0",NULL,NULL
40,"18",3,"BMW",2005,"CA",2,"2020-11-17 19:42:00","2020-11-18 02:29:30","59.0","87.0","10.0","9.0","0.0"
35,"22",3,"Ford",2010,"CA",2,"2020-09-16 17:30:00","2020-09-16 19:29:02","75.0","18.0","3.0","12.0","0.0"
45,"18",3,"Suburu",1998,"CA",2,"2019-04-26 05:46:20","2019-04-26 07:45:59","50.0","89.0","6.0","0.0","0.0"
47,"22",3,"Audi",2005,"GA",2,"2016-09-14 07:23:15","2016-09-14 07:53:15","70.3","91.0","10.0","1.2",NULL
39,"15",1,"Saab",2004,"MI",3,"2019-06-30 10:21:30","2019-06-30 10:51:12","75.0","53.0","10.0","5.0","0.0"
38,"16",1,"BMW",2013,"OH",2,"2020-10-08 16:26:17","2020-10-08 16:56:04","74.0","30.0","10.0","0.0","0.0"
31,"6",3,"Accura",2005,"IL",2,"2017-05-07 15:44:45","2017-05-07 16:11:07","60.1","39.0","10.0","15.0",NULL
40,"10",1,"Accura",2005,"CA",2,"2020-06-09 05:31:00","2020-06-09 07:43:49","54.0","69.0","10.0","0.0","0.0"
29,"3",1,"Nissan",2002,"MN",2,"2020-05-07 07:20:00","2020-05-07 08:33:34","46.0","51.0","10.0","9.0","0.0"
35,"13",1,"Volkswagen",2002,"CA",2,"2018-04-26 02:41:29","2018-04-26 03:26:15","55.0","83.0","9.0",NULL,NULL
48,"16",2,"Audi",2013,"FL",2,"2020-10-18 10:26:01","2020-10-18 12:02:02","84.0","72.0","10.0","8.0","0.0"
41,"13",3,"Suburu",2007,"NC",2,"2017-12-14 11:49:39","2017-12-14 12:33:50","53.6","33.0","10.0","9.2",NULL
34,"9",3,"Ford",2007,"VA",3,"2020-03-18 22:08:32","2020-03-18 22:23:32","52.0","62.0","10.0","8.0","0.0"
32,"2",1,"BMW",2015,"CA",2,"2020-04-29 09:51:00","2020-04-29 10:24:45","80.0","40.0","10.0","5.0","0.0"
36,"9",1,"Dodge",2002,"MD",2,"2020-11-07 20:20:30","2020-11-07 22:43:24","53.0","89.0","10.0","0.0","0.0"
25,"12",3,"Accura",2011,"CA",2,"2020-12-23 15:01:00","2020-12-24 02:25:30","60.0","36.0","10.0","0.0","0.0"
29,"12",2,"Saab",1995,"MN",2,"2016-09-06 12:14:00","2016-09-06 18:14:00","71.6","94.0","5.0","5.8","0.04"
23,"14",1,"Honda",2004,"NY",2,"2019-09-17 06:21:57","2019-09-17 08:09:21","57.0","77.0","10.0","7.0","0.0"
42,"9",1,"BMW",2007,"NY",2,"2017-09-29 08:47:54","2017-09-29 09:17:26","52.0","80.0","10.0",NULL,NULL
43,"3",3,"Ford",2009,"TX",2,"2018-03-16 14:59:34","2018-03-16 15:29:10","80.6","65.0","10.0","5.8",NULL
42,"21",3,"Mercedes",2005,"IL",2,"2016-12-30 06:54:29","2016-12-30 12:54:29","23.0","72.0","10.0","11.5",NULL
25,"5",1,"Toyota",2001,"NY",2,"2018-01-18 06:55:12","2018-01-18 07:24:41","15.1","70.0","10.0","4.6",NULL
47,"11",1,"Dodge",2006,"TN",2,"2019-04-04 19:38:42","2019-04-04 20:08:24","56.0","93.0","10.0","0.0","0.0"
25,"4",4,"Nissan",2013,"IL",2,"2019-10-21 13:23:13","2019-10-21 14:32:57","65.0","75.0","10.0","22.0","0.0"
48,"6",1,"Saab",1999,"NY",2,"2017-03-01 06:36:35","2017-03-01 07:06:25","48.9","100.0","0.2","6.9",NULL
42,"10",1,"Audi",2007,"CA",3,"2019-04-15 08:16:46","2019-04-15 09:30:00","55.0","41.0","10.0","0.0",NULL
41,"23",1,"Saab",2007,"MO",3,"2018-12-15 07:15:13","2018-12-15 07:44:53","30.0","69.0","10.0","11.5",NULL
27,"13",1,"Saab",2004,"NJ",2,"2020-06-27 20:00:00","2020-06-27 20:33:54","86.0","51.0","10.0","18.0","0.0"
41,"16",3,"Ford",2013,"OR",1,"2020-04-13 18:48:05","2020-04-13 19:23:03","66.0","16.0","10.0","8.0","0.0"
33,"3",1,"Toyota",2008,"AZ",2,"2020-11-01 04:31:00","2020-11-01 06:52:41","62.0","31.0","10.0","6.0","0.0"
54,"15",3,"Chevrolet",2014,"AZ",2,"2020-04-20 16:36:18","2020-04-20 17:22:21","83.0","9.0","10.0","8.0","0.0"
49,"4",1,"Mercedes",2002,"NE",2,"2017-08-22 10:53:29","2017-08-22 11:23:16","71.1","59.0","10.0","11.5",NULL
61,"6",3,"Saab",2000,"NY",3,"2016-05-22 05:32:14","2016-05-22 11:32:14","54.0","86.0","10.0","9.2","0.04"
28,"22",2,"Volkswagen",1997,"TX",2,"2016-07-25 09:12:43","2016-07-25 09:58:41","87.8","66.0","10.0",NULL,NULL
47,"1",1,"Saab",2000,"CA",2,"2020-04-29 21:24:00","2020-04-29 23:17:40","68.0","65.0","10.0","8.0","0.0"
31,"16",3,"Nissan",2006,"CA",2,"2020-03-17 14:27:00","2020-03-17 15:38:57","50.0","66.0","10.0","6.0",NULL
42,"18",1,"Dodge",2010,"TN",3,"2017-11-09 08:21:13","2017-11-09 08:50:39","50.0","93.0","5.0","5.8","0.0"
60,"0",1,"Ford",2015,"CA",2,"2016-04-01 00:28:57","2016-04-01 01:13:57","55.9","72.0","10.0","4.6",NULL
41,"12",3,"BMW",2001,"CO",3,"2020-06-14 20:38:00","2020-06-14 21:07:50","79.0","18.0","10.0","9.0","0.0"
32,"13",2,"Saab",2007,"MN",2,"2020-02-09 07:43:00","2020-02-09 10:17:01","17.0","84.0","0.25","9.0","0.04"
51,"9",1,"Ford",2001,"NY",3,"2019-05-25 16:20:12","2019-05-25 16:46:40","68.0","42.0","10.0","17.0","0.0"
46,"14",3,"Accura",1997,"MN",2,"2018-09-17 10:59:25","2018-09-17 11:29:01","69.8","73.0","10.0","4.6",NULL
31,"16",1,"Suburu",2002,"CA",2,"2019-10-02 09:38:00","2019-10-02 11:10:42","62.0","44.0","10.0","3.0","0.0"
41,"20",3,"Toyota",2011,"CA",2,"2017-12-05 06:06:23","2017-12-05 12:06:23","39.2","61.0","10.0","6.9",NULL
38,"4",1,"Ford",2015,"MI",3,"2020-04-17 15:11:38","2020-04-17 16:11:03","33.0","89.0","0.75","7.0","0.0"
39,"7",3,"BMW",2010,"CA",2,"2019-08-29 07:26:00","2019-08-29 08:21:32","69.0","68.0","10.0","12.0","0.0"
41,"22",1,"Volkswagen",2000,"CA",2,"2020-01-22 10:52:00","2020-01-22 11:24:53","61.0","64.0","10.0","3.0","0.0"
36,"11",1,"Ford",2008,"AZ",2,"2019-06-19 17:55:06","2019-06-19 18:24:54","98.0","8.0","10.0","6.0","0.0"
38,"7",1,"Nissan",1999,"OK",3,"2018-09-21 07:27:03","2018-09-21 08:11:50","71.2","86.0","10.0","5.8",NULL
25,"0",4,"Accura",1995,"TX",3,"2016-10-21 06:21:04","2016-10-21 12:21:04","61.0","70.0","10.0","15.0",NULL
35,"1",1,"BMW",2011,"SC",2,"2020-02-17 11:59:20","2020-02-17 12:28:01","51.0","80.0","10.0","0.0","0.0"
39,"12",3,"Ford",2013,"NC",2,"2020-11-17 03:48:00","2020-11-17 06:33:00",NULL,NULL,NULL,NULL,NULL
38,"8",1,"Suburu",2001,"TX",2,"2018-05-31 16:12:53","2018-05-31 16:42:42","98.1","40.0","10.0","15.0",NULL
32,"9",1,"BMW",1998,"CA",3,"2016-11-01 09:09:15","2016-11-01 09:43:00","55.0","83.0","10.0",NULL,NULL
43,"22",1,"BMW",2006,"CA",2,"2019-09-05 05:18:12","2019-09-05 06:32:56","74.0","68.0","10.0","0.0","0.0"
28,"0",3,"Saab",2000,"PA",2,"2017-01-10 08:34:39","2017-01-10 14:42:04","17.6","86.0","0.2",NULL,NULL
45,"0",3,"Ford",1999,"UT",2,"2018-08-17 11:31:06","2018-08-17 12:00:46","84.6","32.0","10.0","8.1",NULL
39,"3",3,"Dodge",2012,"NC",2,"2018-09-01 15:50:41","2018-09-01 16:22:00","78.1","76.0","10.0","18.4",NULL
27,"21",3,"Nissan",2013,"NY",3,"2020-06-02 14:13:30","2020-06-02 15:13:30","67.0","54.0","10.0","12.0","0.0"
33,"0",1,"Jeep",2002,"CA",2,"2019-12-24 14:13:00","2019-12-24 15:06:27","56.0","53.0","10.0","15.0","0.0"
32,"16",1,"BMW",2006,"FL",2,"2017-10-30 09:36:16","2017-10-30 10:06:02","62.1","38.0","10.0","12.7",NULL
34,"14",1,"Volkswagen",1996,"VA",3,"2018-08-02 13:34:50","2018-08-02 14:04:30","75.2","94.0","2.5","5.8",NULL
40,"9",1,"Ford",2015,"PA",2,"2020-10-03 12:08:00","2020-10-03 22:06:55","63.0","41.0","10.0","0.0","0.0"
28,"9",3,"BMW",2010,"CO",2,"2019-04-18 23:44:10","2019-04-19 00:13:53","50.0","35.0","10.0","5.0","0.0"
46,"21",3,"Toyota",1999,"WA",2,"2019-04-14 10:00:12","2019-04-14 11:30:41","47.0","74.0","10.0","0.0","0.0"
32,"19",3,"BMW",1995,"CA",2,"2020-11-18 20:54:00","2020-11-18 22:33:05","59.0","83.0","10.0","0.0","0.0"
35,"2",1,"Mercedes",2008,"PA",2,"2017-01-11 11:38:49","2017-01-11 12:08:20","46.9","68.0","10.0",NULL,NULL
41,"9",1,"Suburu",2001,"AL",2,"2019-08-15 12:43:53","2019-08-15 14:50:50","89.0","45.0","10.0","7.0","0.0"
34,"5",1,"Chevrolet",2013,"CA",3,"2017-01-17 20:49:03","2017-01-17 21:33:29","55.0","89.0","10.0",NULL,NULL
29,"14",1,"Accura",2012,"CA",2,"2020-12-27 05:22:00","2020-12-27 07:51:31","41.0","49.0","10.0","6.0","0.0"
31,"20",3,"Accura",2011,"CA",2,"2016-08-05 12:51:28","2016-08-05 18:51:28","79.0","60.0","10.0",NULL,NULL
58,"18",1,"Accura",2002,"PA",4,"2016-08-20 01:31:43","2016-08-20 07:31:43","69.1","84.0","10.0",NULL,NULL
41,"13",3,"BMW",1996,"CA",2,"2016-09-09 05:18:12","2016-09-09 11:18:12","61.0","75.0","10.0",NULL,NULL
38,"21",1,"Nissan",2014,"SC",2,"2018-08-30 16:01:00","2018-08-30 16:30:49","88.0","61.0","10.0","12.7",NULL
27,"14",1,"Volkswagen",2007,"TN",2,"2018-12-28 06:00:50","2018-12-28 06:30:37","61.0","81.0","10.0","5.8",NULL
41,"1",1,"Suburu",2011,"CA",3,"2020-03-21 12:34:47","2020-03-21 12:49:47",NULL,NULL,NULL,NULL,NULL
32,"17",1,"Audi",2014,"CA",2,"2020-10-28 03:17:02","2020-10-28 04:31:48","58.0","53.0","10.0","0.0","0.0"
45,"4",3,"Mercedes",2009,"TX",3,"2017-03-14 22:51:49","2017-03-14 23:21:30","55.4","63.0","10.0","3.5",NULL
32,"23",3,"Volkswagen",2006,"CA",2,"2020-01-07 07:23:00","2020-01-07 10:02:38","45.0","53.0","10.0","5.0",NULL
54,"13",3,"Suburu",1997,"WI",2,"2020-11-04 06:24:33","2020-11-04 07:11:48","45.0","66.0","10.0","7.0","0.0"
33,"20",3,"Saab",2013,"MA",2,"2020-05-17 16:45:17","2020-05-17 18:31:09","61.0","64.0","10.0","8.0","0.0"
50,"16",1,"Audi",1996,"OR",2,"2018-03-19 14:08:41","2018-03-19 20:08:41","54.0","62.0","10.0","8.1",NULL
61,"10",3,"Jeep",2006,"MA",1,"2020-06-20 02:44:37","2020-06-20 03:29:37","66.0","87.0","10.0","0.0","0.0"
59,"8",1,"Saab",2013,"CA",2,"2019-10-10 11:30:00","2019-10-10 12:41:42","67.0","19.0","10.0","3.0","0.0"
38,"17",3,"Suburu",2013,"FL",2,"2020-10-15 14:04:00","2020-10-15 16:07:35","81.0","69.0","10.0","8.0","0.0"
29,"9",1,"Honda",1999,"CA",2,"2019-12-03 16:35:00","2019-12-03 17:07:29","63.0","35.0","10.0","10.0","0.0"
36,"0",1,"Mercedes",2014,"CA",2,"2017-01-11 09:17:50","2017-01-11 15:17:50","48.2","93.0","10.0","4.6",NULL
48,"12",1,"Chevrolet",1997,"WA",2,"2016-10-11 15:32:39","2016-10-11 16:02:27","61.0","48.0","10.0","8.1",NULL
48,"20",2,"Volkswagen",2002,"OR",2,"2020-06-19 09:17:22","2020-06-19 11:17:22","60.0","86.0","10.0","3.0","0.0"
30,"3",1,"Dodge",1997,"FL",2,"2017-05-14 08:28:23","2017-05-14 09:13:00","73.9","91.0","7.0","4.6","0.03"
34,"18",3,"Mercedes",2011,"IN",2,"2017-08-09 07:26:15","2017-08-09 13:26:15","61.0","87.0","7.0",NULL,NULL
29,"4",3,"Suburu",2012,"DC",2,"2020-03-04 08:36:04","2020-03-04 09:04:36","49.0","40.0","10.0","7.0","0.0"
28,"18",1,"Audi",2012,"MI",4,"2019-07-13 16:14:30","2019-07-13 16:42:44","89.0","44.0","10.0","12.0","0.0"
45,"18",3,"Saab",1999,"FL",2,"2020-12-21 23:39:33","2020-12-22 01:36:32","60.0","86.0","10.0","7.0","0.0"
46,"7",1,"Toyota",2015,"NE",3,"2016-09-06 17:16:06","2016-09-06 17:46:06","90.7","55.0","10.0","10.4",NULL
37,"18",1,"Jeep",2011,"CT",3,"2019-02-02 17:00:20","2019-02-02 17:44:15","33.1","59.0","10.0","20.7",NULL
42,"23",3,"Jeep",2006,"VA",2,"2017-06-02 19:26:55","2017-06-02 20:04:03","77.0","32.0","10.0","13.8",NULL
28,"1",1,"Volkswagen",2007,"LA",3,"2019-05-21 17:07:55","2019-05-21 18:07:30","89.0","52.0","10.0","16.0","0.0"
29,"15",3,"Dodge",2001,"OR",2,"2020-12-14 19:41:16","2020-12-14 20:41:16","43.0","93.0","10.0","6.0","0.0"
31,"2",3,"Volkswagen",2014,"MS",2,"2020-01-02 18:38:49","2020-01-02 19:06:44","57.0","93.0","4.0","5.0","0.22"
44,"3",1,"Ford",2002,"CA",2,"2016-05-03 15:46:42","2016-05-03 16:31:42","78.1","37.0","10.0","8.1",NULL
46,"13",1,"Jeep",2011,"TX",3,"2018-07-09 09:29:21","2018-07-09 10:13:59","73.4","100.0","2.5",NULL,"0.03"
34,"1",1,"Honda",1998,"CT",3,"2020-01-22 15:29:39","2020-01-22 16:29:28","36.0","55.0","10.0","9.0","0.0"
45,"16",1,"Volkswagen",2003,"MN",2,"2020-09-09 17:32:12","2020-09-09 19:01:54","46.0","83.0","10.0","3.0","0.01"
40,"0",1,"Chevrolet",1998,"CA",2,"2019-09-10 20:27:14","2019-09-10 21:12:58","64.0","72.0","10.0","16.0","0.0"
39,"1",1,"Chevrolet",2010,"PA",2,"2019-03-20 11:29:32","2019-03-20 12:49:00","48.9","35.0","10.0","10.4",NULL
36,"17",3,"Audi",2006,"CA",2,"2019-10-18 14:03:00","2019-10-18 16:20:35","83.0","18.0","10.0","3.0","0.0"
54,"13",1,"Dodge",1997,"OR",3,"2018-02-19 05:09:41","2018-02-19 05:37:58","32.0","75.0","10.0","5.8",NULL
27,"12",1,"Accura",2009,"CA",2,"2016-09-08 21:29:01","2016-09-08 22:00:00","73.0","44.0","10.0","4.6",NULL
26,"11",1,"Chevrolet",2011,"OK",2,"2019-03-15 20:35:51","2019-03-15 23:08:37","44.1","43.0","10.0","5.8",NULL
46,"18",1,"Mercedes",2013,"FL",2,"2017-08-03 13:39:51","2017-08-03 14:09:22","89.1","63.0","10.0","9.2",NULL
35,"17",1,"Mercedes",2007,"UT",2,"2019-05-11 23:20:00","2019-05-12 05:26:12","59.0","46.0","10.0","6.0","0.0"
34,"22",3,"Audi",2009,"NC",2,"2017-07-27 09:46:19","2017-07-27 10:16:07","82.0","65.0","10.0","11.5",NULL
39,"9",1,"Chevrolet",2010,"CA",2,"2018-04-16 08:32:42","2018-04-16 09:17:29","60.1","72.0","10.0",NULL,NULL
25,"11",3,"Honda",2003,"NJ",2,"2016-03-30 16:55:03","2016-03-30 22:55:03",NULL,NULL,NULL,NULL,NULL
28,"11",1,"Honda",2007,"SC",2,"2017-01-10 08:07:15","2017-01-10 08:36:22","24.8","74.0","5.0",NULL,NULL
57,"8",1,"Volkswagen",2008,"CA",2,"2017-01-10 13:17:15","2017-01-10 19:17:56","57.9","84.0","4.0","6.9","0.05"
39,"18",1,"Nissan",2001,"NC",2,"2020-06-13 18:06:32","2020-06-13 19:01:03","83.0","37.0","10.0","12.0","0.0"
47,"13",1,"Mercedes",2012,"TX",3,"2020-11-04 16:18:51","2020-11-04 16:48:22","79.0","44.0","10.0","5.0","0.0"
32,"8",1,"Nissan",2015,"MN",2,"2019-12-16 06:47:00","2019-12-16 07:40:05","18.0","88.0","10.0","6.0","0.0"
26,"9",3,"Chevrolet",2003,"TX",2,"2017-08-07 16:20:51","2017-08-07 22:20:51","90.0","54.0","10.0","10.4",NULL
44,"17",2,"Saab",2006,"CA",4,"2018-07-09 01:08:19","2018-07-09 07:08:19","75.0","71.0","10.0","4.6",NULL
36,"3",1,"Jeep",2001,"MD",3,"2020-05-10 19:41:21","2020-05-10 20:11:21","60.0","42.0",NULL,NULL,"0.0"
43,"6",1,"Accura",2006,"AZ",2,"2016-08-24 07:42:32","2016-08-24 13:42:32","84.2","37.0","10.0","5.8",NULL
48,"17",1,"Honda",2014,"NJ",3,"2019-11-04 08:33:21","2019-11-04 09:48:13","47.0","52.0","10.0","0.0","0.0"
